source_group_id,cell,r_end,c_end,d_pos,order_ok,r_end_tok,c_end_tok,d_pos_tok,prediction_match,d1_d_raw,our_d_raw,d_raw_abs_diff,seq_len
329dd7e54066ef13a3da213f7f3b6cff598c5899634f90f2aa842bf03bdfe22b,SS,102,111,119,True,5269,5269,198,True,-18.625,-18.625,0.0,120
32a5842122bca8ce29d1bd38d6bee5bd0cd4ff77f6e85b6df20e866683e9e9d8,OO,96,104,112,True,13153,13153,198,True,14.6953125,14.6953125,0.0,113
32a5842122bca8ce29d1bd38d6bee5bd0cd4ff77f6e85b6df20e866683e9e9d8,OS,96,107,115,True,13153,2356,198,True,-21.0625,-21.0625,0.0,116
32a5842122bca8ce29d1bd38d6bee5bd0cd4ff77f6e85b6df20e866683e9e9d8,SO,99,107,115,True,2356,13153,198,True,7.875,7.875,0.0,116
32a5842122bca8ce29d1bd38d6bee5bd0cd4ff77f6e85b6df20e866683e9e9d8,SS,99,110,118,True,2356,2356,198,True,-15.6015625,-15.6015625,0.0,119
335059d400355094616bc325ef0848eda0060b94b91bf17aa229387a74b6c2fe,OO,104,112,120,True,18636,18636,198,True,16.46484375,16.46484375,0.0,121
335059d400355094616bc325ef0848eda0060b94b91bf17aa229387a74b6c2fe,OS,104,112,120,True,18636,3100,198,True,-22.53125,-22.53125,0.0,121
335059d400355094616bc325ef0848eda0060b94b91bf17aa229387a74b6c2fe,SO,104,112,120,True,3100,18636,198,True,-17.078125,-17.078125,0.0,121
335059d400355094616bc325ef0848eda0060b94b91bf17aa229387a74b6c2fe,SS,104,112,120,True,3100,3100,198,True,-16.16796875,-16.16796875,0.0,121
37fd7343def15a982f55039a6fd91953c9aec931123a52d0f01f0e4298e0f327,OO,110,119,127,True,70795,70795,198,True,16.1015625,16.1015625,0.0,128
37fd7343def15a982f55039a6fd91953c9aec931123a52d0f01f0e4298e0f327,OS,110,118,126,True,70795,84222,198,True,-22.21875,-22.21875,0.0,127
37fd7343def15a982f55039a6fd91953c9aec931123a52d0f01f0e4298e0f327,SO,109,118,126,True,84222,70795,198,True,-17.1171875,-17.1171875,0.0,127
37fd7343def15a982f55039a6fd91953c9aec931123a52d0f01f0e4298e0f327,SS,109,117,125,True,84222,84222,198,True,-17.12109375,-17.12109375,0.0,126
38197b9f21a2cbc6219c9edadf1b00c23fd75944c8ed0462d4fb2984382e2454,OO,101,111,119,True,20849,20849,198,True,17.171875,17.171875,0.0,120
38197b9f21a2cbc6219c9edadf1b00c23fd75944c8ed0462d4fb2984382e2454,OS,101,110,118,True,20849,32845,198,True,-18.890625,-18.890625,0.0,119
38197b9f21a2cbc6219c9edadf1b00c23fd75944c8ed0462d4fb2984382e2454,SO,100,110,118,True,32845,20849,198,True,-18.8125,-18.8125,0.0,119
38197b9f21a2cbc6219c9edadf1b00c23fd75944c8ed0462d4fb2984382e2454,SS,100,109,117,True,32845,32845,198,True,13.1484375,13.1484375,0.0,118
3832009ffefb8053acc8f41b409ffc903ba02cb06ee1f396131afe3a64f7f714,OO,102,111,119,True,48869,48869,198,True,15.515625,15.515625,0.0,120
3832009ffefb8053acc8f41b409ffc903ba02cb06ee1f396131afe3a64f7f714,OS,102,111,119,True,48869,4802,198,True,-21.71875,-21.71875,0.0,120
3832009ffefb8053acc8f41b409ffc903ba02cb06ee1f396131afe3a64f7f714,SO,102,111,119,True,4802,48869,198,True,-20.78125,-20.78125,0.0,120
3832009ffefb8053acc8f41b409ffc903ba02cb06ee1f396131afe3a64f7f714,SS,102,111,119,True,4802,4802,198,True,15.796875,15.796875,0.0,120
3975f704337b080024800027d2e29bc96ed1f384966e94429dc7897299354c6c,OO,107,116,124,True,18808,18808,198,True,18.875,18.875,0.0,125
3975f704337b080024800027d2e29bc96ed1f384966e94429dc7897299354c6c,OS,107,116,124,True,18808,64025,198,True,-21.625,-21.625,0.0,125
3975f704337b080024800027d2e29bc96ed1f384966e94429dc7897299354c6c,SO,107,116,124,True,64025,18808,198,True,-6.125,-6.125,0.0,125
3975f704337b080024800027d2e29bc96ed1f384966e94429dc7897299354c6c,SS,107,116,124,True,64025,64025,198,True,-15.7578125,-15.7578125,0.0,125
398a76fc83c24119abafed142f0472b7bf7450ccca75cac5e41f71c680f8b506,OO,98,106,114,True,9956,9956,198,True,18.546875,18.546875,0.0,115
398a76fc83c24119abafed142f0472b7bf7450ccca75cac5e41f71c680f8b506,OS,98,107,115,True,9956,523,198,True,-20.90625,-20.90625,0.0,116
398a76fc83c24119abafed142f0472b7bf7450ccca75cac5e41f71c680f8b506,SO,99,107,115,True,523,9956,198,True,-2.1875,-2.1875,0.0,116
398a76fc83c24119abafed142f0472b7bf7450ccca75cac5e41f71c680f8b506,SS,99,108,116,True,523,523,198,True,10.21875,10.21875,0.0,117
39f61c2d75b7fe6d51ef30f35eec36827fd3e075b56c61c3a34d13069985a50f,OO,115,128,136,True,1134,1134,198,True,19.09375,19.09375,0.0,137
39f61c2d75b7fe6d51ef30f35eec36827fd3e075b56c61c3a34d13069985a50f,OS,115,125,133,True,1134,782,198,True,-19.59375,-19.59375,0.0,134
